Human	Worm	Type	OMAGroup
23002	186392	n:1	
51528	178993	1:1	1227619
341883	CAEEL14278	1:1	
HUMAN19669	179469	n:1	961325
6495	178919	n:1	
4331	173602	1:1	1208240
57570	13216595	1:1	
6617	176734	1:m	
6617	178929	1:m	
27133	178624	n:1	
5529	180100	n:1	
6710	179077	n:1	
HUMAN19821	179946	n:1	
2342	179946	n:1	1234971
4149	179557	1:1	
2530	178985	1:1	
64398	3565703	1:1	1195776
51382	176338	1:1	1204205
1965	171769	1:1	1198680
87	179709	n:1	961271
2079	179476	1:1	
55334	179862	1:1	
400224	180373	1:1	
6430	174748	n:1	969500
6547	178918	n:1	
10001	179091	1:1	
9628	179707	n:1	1164103
58517	259655	1:1	961270
641371	189157	n:m	
641371	CAEEL01070	n:m	
641371	172725	n:m	
641371	187017	n:m	
HUMAN20187	189157	n:m	
HUMAN20187	CAEEL01070	n:m	
HUMAN20187	172725	n:m	
HUMAN20187	187017	n:m	
122970	189157	n:m	
122970	CAEEL01070	n:m	732843
122970	172725	n:m	
122970	187017	n:m	
641372	189157	n:m	
641372	CAEEL01070	n:m	
641372	172725	n:m	
641372	187017	n:m	
145482	174671	n:1	728737
HUMAN20212	174671	n:1	
51004	179316	1:1	663174
957	179395	n:1	861593
4329	174800	1:1	950125
5826	179968	1:1	961881
122961	175088	1:1	783802
51077	172780	1:1	1227441
1743	179063	1:1	1246039
8892	173067	1:1	
10972	179567	1:1	
55640	172203	n:1	961262
2103	179589	1:1	
2954	190586	1:m	
2954	190243	1:m	
2954	183911	1:m	
HUMAN20501	179071	1:1	
10598	180017	1:1	
9517	266646	n:1	957337
8846	190176	1:1	
81892	179840	1:1	962899
22938	179598	1:1	672585
57143	179618	1:1	946385
9369	179503	n:1	
7253	179381	n:1	
2957	178893	1:1	
6400	179720	1:1	961793
2581	183002	1:1	
79882	178847	1:1	
123016	188904	1:1	961639
55775	176996	1:1	
56659	179699	n:1	
5700	178988	1:1	960910
805	178614	n:1	
145567	175332	n:1	
9252	172581	n:1	966749
55671	179243	n:1	
4287	180049	n:1	
53981	179103	1:1	1229112
5641	179714	1:1	
55148	172563	1:1	
HUMAN20929	3565180	1:1	1226936
78990	3565820	n:1	
57062	172223	1:1	961450
57718	174413	1:1	
23405	176138	1:1	1204961
51218	176662	1:1	912803
55102	180949	n:1	1189012
51527	174032	1:1	755638
84193	190607	1:1	
2009	180358	n:1	
51466	190098	n:1	
123099	173327	n:1	
123096	179969	1:1	917342
283600	187658	n:1	
7453	180231	1:1	1245454
5527	179526	n:1	
1778	172041	1:1	671266
3320	179971	1:1	
91833	179410	n:1	
9578	179013	n:1	
1983	179165	1:1	960902
115708	173142	1:1	1228767
84334	180245	1:1	762756
374569	179667	1:1	
122622	178872	n:1	
2972	CAEEL04888	1:1	709383
23241	179304	n:1	1207016
1396	182010	n:m	965776
1396	177586	n:m	
1396	182010	n:m	
1396	177586	n:m	974550
81614	175418	n:1	
23191	176885	n:1	
283767	171785	1:1	
283685	172411	1:1	
57194	176498	n:1	780296
2562	CAEEL07962	1:1	
728310	CAEEL19477	1:1	
89832	191599	n:m	
89832	179235	n:m	784672
22909	177415	1:1	1215149
4308	172646	1:1	
1139	191599	n:m	784659
1139	179235	n:m	
6263	CAEEL14390	n:1	408774
1133	179962	n:1	962724
56851	175651	1:1	671219
51234	177324	1:1	1235149
9990	177370	n:1	
55505	172883	1:1	1187895
9716	180232	1:1	714925
89978	183978	1:1	1187766
283742	177564	n:1	
440275	174953	1:1	
6727	179236	1:1	
85455	172240	1:1	1151138
HUMAN22299	177281	1:1	662650
27079	173456	1:1	1229849
5888	177914	1:1	1192905
2644	4363077	1:1	1179655
55192	179227	1:1	696447
84936	179740	1:1	
57617	173783	1:1	
79094	178693	1:1	
11261	186617	n:m	
11261	179415	n:m	961602
23168	179345	1:1	961231
30844	CAEEL14236	n:1	
23339	179902	1:1	
2595	180400	1:1	
8773	179427	n:1	
197131	171953	n:1	
161823	259441	1:1	1172695
2923	172433	1:1	963637
10169	171764	1:1	822265
4236	172661	1:1	961298
6652	179404	1:m	
6652	179405	1:m	728736
405753	182313	n:1	
90527	182313	n:1	
53905	186188	1:m	
53905	171608	1:m	750421
9153	CAEEL13597	n:m	
9153	178770	n:m	
58472	189421	1:m	
58472	178374	1:m	
6557	3565648	n:1	
9318	172278	1:1	
2585	171755	1:1	1143917
56986	13186571	1:1	
79895	177256	n:1	
54822	178031	n:m	
54822	178036	n:m	
342035	183582	1:m	
342035	CAEEL02940	1:m	916424
23312	181558	n:1	1197903
10681	172483	1:1	965653
55930	CAEEL15091	n:1	
4644	CAEEL15091	n:1	
51187	172815	1:1	1235343
5873	173223	n:1	964293
HUMAN23218	13184808	1:1	961323
4734	171719	1:1	698926
84952	176683	1:1	
366	174467	n:m	
366	180744	n:m	
102	172689	1:1	1148348
79811	185193	n:1	
9133	171993	1:m	
9133	177965	1:m	
9133	177994	1:m	
4643	172698	1:1	
9245	172446	n:m	
9245	172447	n:m	
9245	173114	n:m	
9245	174679	n:m	666338
2958	176682	1:1	788720
54832	172705	n:1	697498
83660	171736	n:1	
7168	173319	n:1	
114294	189927	1:1	
51065	178538	n:1	
83464	172747	n:1	
9960	190579	1:1	
6642	180468	n:1	
5479	173374	1:1	961475
53944	172891	n:1	
10845	171817	1:m	
10845	172511	1:m	
54878	172409	n:1	
8766	171601	n:1	961130
84465	173064	n:1	
5604	171872	n:1	
6124	172074	1:1	1251119
8125	173372	n:m	
8125	CAEEL13946	n:m	
26035	175562	1:1	411223
6176	171766	1:1	
4649	171650	n:1	962709
123228	3565434	1:1	
5315	172744	n:m	1235045
5315	177984	n:m	
3073	180533	n:1	
25820	172282	1:m	
25820	172283	1:m	
25820	172284	1:m	961006
25820	178437	1:m	
585	3565681	1:1	961883
83440	173393	1:1	1132704
4756	172233	n:1	
9399	CAEEL10857	1:1	
8482	183905	1:1	
1445	266817	1:1	
10066	171756	n:1	
4351	176388	1:1	
60490	179829	1:1	745810
54939	189048	1:1	
25942	172628	n:1	
10073	173383	1:1	944786
55272	172420	1:1	1174112
257364	178361	n:1	
1464	CAEEL01083	1:1	
92912	172941	n:1	
2108	172535	1:1	829651
5955	184174	1:1	
10363	173124	1:1	
10518	172774	n:1	
3419	172655	1:1	1217811
HUMAN24527	173341	n:1	961940
5685	172139	1:1	1218160
10933	176702	1:1	
23423	172372	n:1	
10588	190922	n:1	877872
100528021	190922	n:1	
54469	172441	n:1	680353
2184	180918	1:1	1199763
58489	172585	n:1	
23184	173908	1:1	1143326
79631	172838	1:1	
6218	172313	1:1	
53339	178116	n:1	
6457	172078	n:1	
23478	171876	n:1	925865
9154	CAEEL13597	n:m	
9154	178770	n:m	
26589	190311	1:1	
5428	174860	1:1	1216847
51458	179606	n:1	
HUMAN25005	171691	n:1	
3418	181311	1:1	1217820
390637	178982	1:1	
8826	173294	n:1	
5045	173051	1:1	963216
4122	179632	n:1	1223668
374659	191461	1:1	898307
55898	175206	n:1	1214666
9055	171683	1:1	
HUMAN25129	174095	n:1	1223961
26276	174095	n:1	
1106	172432	n:1	
56963	190602	n:1	
55784	CAEEL01187	n:1	895948
7026	192082	n:1	928544
91947	187635	1:m	
91947	190071	1:m	
3480	175410	n:1	962588
145814	CAEEL01789	n:1	
170691	181022	n:m	
170691	181412	n:m	
22856	172851	n:1	
6627	173767	1:1	961017
51728	176950	1:1	1239691
8131	185331	1:1	
55692	174246	n:1	
398	180721	n:1	
10573	173400	1:1	
84326	3564786	1:1	1216819
89941	177238	n:1	1251434
10273	172303	1:1	1207792
339123	175673	1:1	907318
64428	175702	n:1	
6755	187897	n:1	
8912	181045	n:1	
7329	3565767	1:1	828831
8938	180562	n:1	1181943
1186	179655	1:1	1202780
9894	176065	1:1	
9742	179666	1:1	
HUMAN25709	176349	n:1	
3029	174839	1:1	775284
81889	176109	1:1	1199762
6187	177583	1:1	
10607	190203	1:1	960954
2671	171611	1:1	
9143	180995	n:1	
4913	187770	1:1	
25837	180696	1:1	
64223	182509	1:1	960934
283871	176232	n:m	
283871	178963	n:m	
283871	178964	n:m	
283871	178965	n:m	
10921	175244	1:1	962099
21	178559	1:1	
57465	CAEEL18807	1:1	
527	176383	1:m	
527	187779	1:m	1152270
527	187779	1:m	
51005	176272	1:1	1241719
5170	180475	1:1	961539
54442	180473	n:1	961963
6923	176605	1:1	
84891	180848	1:1	
79903	3565178	1:1	
23059	177107	1:1	
10131	176019	1:1	1191285
115	175622	1:1	
51025	176769	1:1	
100529144	176784	n:1	962180
79585	176784	n:1	
9093	176211	1:1	960830
79641	176058	1:1	780627
56052	175920	1:1	1228374
196483	176269	n:1	
18	177897	1:1	1192321
5373	178364	n:1	1153490
101929989	3564964	1:1	
7874	179538	1:1	
4682	172868	1:1	960952
780776	183205	n:1	
23274	175721	1:1	1212095
2935	179537	n:1	961470
2072	174793	1:1	1224699
23042	181232	1:1	1225541
54700	175517	1:1	
4629	180581	n:1	
408050	3565008	1:1	
6210	175338	1:1	1250978
10229	175729	1:1	1186313
728276	177344	1:1	
51573	175713	1:m	
51573	177509	1:m	910196
HUMAN26990	CAEEL04210	1:1	1146662
116285	178751	1:1	
55623	178732	1:1	1241016
51108	188034	1:1	
7385	175248	1:m	
7385	181374	1:m	
7385	181611	1:m	
100288072	189371	n:m	
100288072	191049	n:m	
100288072	260026	n:m	
29904	175871	1:1	
55718	189252	1:1	
9956	3564879	n:1	
6340	189058	n:m	
6340	189033	n:m	
HUMAN27243	189058	n:m	
HUMAN27243	189033	n:m	
124454	176860	1:1	
84516	171856	1:1	766618
5347	171838	1:m	
5347	CAEEL08218	1:m	961548
10595	174305	n:1	
63928	186617	n:m	
63928	179415	n:m	
5579	CAEEL19537	n:1	
51451	175561	1:1	1231700
343	183221	1:1	
388228	180660	1:1	
728689	172858	1:1	
1201	172171	n:m	
1201	179559	n:m	
1201	172171	n:m	
1201	179559	n:m	
11273	CAEEL08787	1:1	962305
7284	175398	1:1	960824
487	176512	n:1	
83985	CAEEL09133	n:m	962055
83985	178256	n:m	
83985	179662	n:m	
83985	184219	n:m	
10423	174902	1:1	1243414
9344	175862	n:1	964837
226	175827	1:m	
226	176788	1:m	1136751
5531	176657	1:1	1195467
11151	176440	n:1	
10421	176561	1:1	1245067
197407	172435	1:1	
22928	189912	n:1	1187432
HUMAN27892	CAEEL06637	n:1	
9810	176180	n:1	
9739	173738	1:1	
112755	176743	n:1	
9726	171670	1:1	
84148	CAEEL02809	1:1	
2521	174175	n:1	965321
55737	174000	1:1	1241919
10294	3565862	1:1	961069
81533	176253	1:1	
5257	177092	1:1	898389
94160	181587	n:1	
83752	176643	1:1	1223147
255919	172625	1:1	1190714
29117	172461	1:1	900535
5934	172249	n:1	
64400	180223	1:1	
23322	174654	n:1	719260
6530	176304	1:1	
2775	172505	1:1	1245108
267	CAEEL01909	1:1	1220727
11051	172657	1:1	1189949
55239	173947	1:1	
583	259580	1:1	
9688	171774	1:1	
9709	172916	n:1	
80011	172880	1:1	
89970	172764	1:1	1193031
5432	172680	1:1	1237243
29105	353416	1:1	
64785	171645	1:1	
65009	173217	n:1	
23019	175971	1:1	961135
2806	180897	1:1	1175570
1783	178260	n:1	
8883	266650	1:1	784007
766	180972	1:1	
57546	172035	n:1	
51647	185814	1:1	902189
80262	172609	1:1	1231821
HUMAN29008	172890	n:1	718545
29100	172649	1:1	1236126
29109	172133	n:1	
51673	171948	n:1	
9114	172134	1:1	1250067
50855	173137	n:1	1238535
10204	172648	1:1	1135633
5681	171688	n:1	
6560	177370	n:1	
54920	173331	1:1	
23659	172457	1:1	
54496	172727	1:1	904863
54921	188728	1:1	736403
6645	266844	n:1	
HUMAN29348	189590	n:1	
27183	189590	n:1	
84342	176841	1:1	
51388	172028	1:1	1251552
28987	171874	1:1	
55066	172922	1:1	1246578
16	171985	1:1	1226431
25839	173518	1:1	1245795
23450	172406	1:1	670847
55697	172589	1:1	1203151
6898	181574	1:1	1144758
164	173304	1:1	
1723	172392	1:1	921722
9785	176409	1:1	1225073
5713	172009	1:1	1244912
2734	174342	1:1	1192579
79152	172882	1:1	915201
197257	179506	1:1	1152439
79583	188913	1:1	1217791
3735	174159	1:1	1184759
85445	178167	n:1	
HUMAN29830	178167	n:1	
22879	177318	n:1	
283927	190780	1:1	948800
51741	174183	1:m	728790
51741	175108	1:m	
51741	CAEEL06450	1:m	
83657	188872	n:1	
2653	172486	1:m	
2653	183902	1:m	
53630	173733	n:m	
53630	189959	n:m	
93517	189371	n:m	
93517	191049	n:m	
93517	260026	n:m	
23417	175597	1:1	
29948	177185	n:1	
83693	175895	n:m	
83693	184934	n:m	
83693	182292	n:m	
83693	182291	n:m	
83693	184337	n:m	
55625	172257	n:1	
51659	185146	1:1	1240438
10328	172938	n:1	
1327	173237	n:1	
81631	177989	n:1	
4597	175078	1:1	1234070
348180	179483	1:1	
9780	182492	n:1	
353	172232	1:1	1232674
51693	3896754	1:1	
6687	177021	1:1	
6137	171949	1:1	
22980	172669	1:1	
2622	183553	1:1	
55275	176377	1:1	1225529
51031	175530	1:1	757969
29928	174722	1:1	
1398	176968	n:1	1188064
51763	183643	1:1	
5306	190268	n:1	902117
10594	176153	1:1	780606
6117	174238	1:1	
1801	175475	1:1	1226940
124641	178194	1:1	762076
63826	187970	1:1	
55720	173812	1:1	761663
9905	176454	n:1	
5048	176758	1:1	961051
23277	176341	1:1	
HUMAN30853	CAEEL15456	n:m	
HUMAN30853	188364	n:m	963744
23729	CAEEL09298	n:1	
23729	CAEEL09298	n:1	857802
30851	175685	1:1	1245080
83460	177550	1:1	1167711
84254	182278	1:1	
489	176512	n:1	
124936	175557	1:1	1137539
51479	173180	1:1	
7326	176363	1:1	
201305	CAEEL09133	n:m	
201305	178256	n:m	963059
201305	179662	n:m	
201305	184219	n:m	
124976	CAEEL09133	n:m	
124976	178256	n:m	
124976	179662	n:m	
124976	184219	n:m	
409	180446	n:1	
284013	188008	1:m	
284013	185033	1:m	
284013	190258	1:m	
284013	180346	1:m	
5694	CAEEL09625	n:1	1240700
50488	181248	n:1	
2811	181554	1:1	
8402	173414	1:1	917340
23125	173786	1:1	
708	175441	1:1	1236304
56919	172199	1:1	
51009	176018	1:1	928406
23746	174092	n:1	
83394	175459	n:1	
84817	175400	1:1	769966
284111	187898	n:m	
284111	176429	n:m	
284111	181585	n:m	
HUMAN31214	177755	1:1	
1742	180819	n:1	
37	174180	1:1	662657
1856	266854	n:m	
1856	173894	n:m	
11337	174050	1:1	770260
23399	185802	1:1	813116
6517	178634	n:1	
9744	174848	n:1	
57048	184340	n:m	
57048	173053	n:m	
57048	191509	n:m	
57048	182212	n:m	
254863	190926	1:1	
57555	181484	n:1	
HUMAN31425	177190	1:1	1247539
1973	175966	n:1	
9526	179218	1:1	1232525
112483	183946	1:1	758136
482	182726	n:m	
482	181494	n:m	
55135	173303	1:1	
1107	178970	n:m	969877
1107	181421	n:m	
58485	6418789	1:1	930173
HUMAN31627	266648	n:1	
6844	266648	n:1	795666
9212	172268	1:1	
5198	175608	1:1	1222659
HUMAN31688	174379	n:1	
6154	174379	n:1	
4628	180581	n:1	
9423	180961	1:1	968973
8735	172471	n:m	964689
8735	259839	n:m	
8735	179190	n:m	
8735	179676	n:m	
8735	181404	n:m	
4626	172471	n:m	
4626	259839	n:m	
4626	179190	n:m	
4626	179676	n:m	
4626	181404	n:m	
4622	172471	n:m	
4622	259839	n:m	
4622	179190	n:m	
4622	179676	n:m	
4622	181404	n:m	
4619	172471	n:m	
4619	259839	n:m	
4619	179190	n:m	967741
4619	179676	n:m	
4619	181404	n:m	
4620	172471	n:m	
4620	259839	n:m	
4620	179190	n:m	
4620	179676	n:m	
4620	181404	n:m	
4621	172471	n:m	
4621	259839	n:m	
4621	179190	n:m	
4621	179676	n:m	
4621	181404	n:m	970110
6341	173763	1:1	877311
6416	185682	1:1	
60528	177241	1:1	1200186
9955	3564879	n:1	
9953	3564879	n:1	
201158	183205	n:1	
54902	175087	1:1	
9487	3565275	1:1	1160263
51393	CAEEL15456	n:m	
51393	188364	n:m	
201163	CAEEL04799	1:1	
6720	176574	n:1	
146691	180723	n:1	
91647	191004	1:1	1247249
1819	176163	1:1	710170
51168	CAEEL19878	1:1	1183131
3996	180435	n:1	
2314	176215	1:1	964496
6470	175915	1:1	
654346	174557	n:m	1215969
654346	174964	n:m	
51030	183205	n:1	1236231
5636	CAEEL19811	n:1	1219719
22905	181577	n:1	
27077	186954	1:1	871390
5598	180311	1:1	
218	178680	1:m	
218	179026	1:m	950150
284194	174557	n:m	
284194	174964	n:m	1215968
25979	181761	1:m	728774
25979	13224720	1:m	
256302	3565174	1:1	776778
5606	181043	n:1	
3768	191695	n:1	
100134444	191695	n:1	
3965	174557	n:m	
3965	174964	n:m	
51701	176808	1:1	
90410	260266	1:1	
26073	176098	1:1	
23098	175502	1:1	
9058	187898	n:m	
9058	176429	n:m	
9058	181585	n:m	
9094	176519	n:1	
124923	175977	1:1	964606
9703	173375	1:1	1225993
6388	172010	n:1	
6830	175621	1:1	1233274
6147	172617	1:m	961146
6147	180748	1:m	
116238	185643	1:1	
26284	174508	1:1	1248561
51268	259861	1:m	1246574
51268	180921	1:m	
57551	175862	n:1	
124930	175889	n:1	
84940	176440	n:1	962394
6532	171879	1:1	
9527	176044	1:1	
55288	177238	n:1	
162494	CAEEL08574	1:1	
5717	175972	1:1	1214098
4642	175521	n:1	
40	CAEEL00598	n:m	
40	182851	n:m	
40	184882	n:m	
40	185036	n:m	
40	181468	n:m	
10693	175819	n:1	
54475	173439	1:1	960940
146862	175206	n:1	
5193	CAEEL19872	1:1	672068
8148	174175	n:1	
284098	190940	1:1	1247072
79922	3565184	1:1	960876
3975	172893	1:1	
26574	171723	1:1	
31	173500	n:m	1209208
31	178510	n:m	
11072	182228	n:1	1168459
11056	172651	1:1	961366
84311	191044	1:1	752652
5691	173858	1:1	1240697
8396	175344	n:1	719792
9349	175796	1:1	1251061
3927	185685	n:1	1144615
6143	172201	1:1	961025
84961	3564805	n:1	961887
10948	175655	1:1	
5409	175868	n:m	
5409	176217	n:m	
5409	179385	n:m	
93210	187504	1:1	
2064	174462	n:1	
22806	180756	n:1	
5709	176196	1:1	1173166
7067	191500	1:1	
990	172029	1:1	1203561
5914	CAEEL09734	1:1	
7153	174825	n:1	
6605	175393	1:1	
81871	CAEEL20852	n:1	
728318	190869	1:m	
728318	190869	1:m	
3866	180430	1:1	
10209	266853	n:1	
10609	178435	n:1	
115024	175843	n:m	
115024	178457	n:m	
47	179795	1:m	
47	180485	1:m	1132694
2648	171920	1:1	
6777	178465	n:1	
6776	178465	n:1	
535	176257	1:1	1180674
4669	175063	1:1	1157301
80347	171657	1:1	855089
6945	175184	1:1	1229106
7283	176361	n:1	674819
27175	176361	n:1	
84313	173143	1:1	894256
65266	181217	1:1	
8678	177345	n:1	
10197	176588	1:1	842950
146923	180416	1:1	1217030
6155	171750	1:1	
1659	173920	1:1	1225071
4356	190302	n:1	
3674	176240	n:1	
2535	172856	n:1	
9343	175851	1:1	960969
79877	176375	1:1	855086
113026	177525	n:1	
752	175346	n:1	
9842	175037	1:1	
4905	266842	1:1	961137
9570	187425	n:m	
9570	181891	n:m	878554
HUMAN34503	187425	n:m	
HUMAN34503	181891	n:m	
996	172145	1:1	
9520	177528	1:1	806341
3837	172110	1:1	1209372
55163	175973	1:1	
80279	180327	1:1	1212282
51226	174675	n:1	
10951	176506	1:m	
10951	181450	1:m	
3214	181197	1:1	
516	175299	1:1	
11267	175672	1:1	1170650
5245	171768	1:1	960911
8405	176422	n:1	961552
HUMAN34807	176690	1:1	698764
5164	176226	1:1	
80221	179043	1:m	961059
80221	3565680	1:m	
64847	174243	1:1	1220672
8913	181045	n:1	965077
51747	183652	1:1	962144
9043	176349	n:1	
HUMAN35035	172939	1:1	
51096	175994	1:1	720429
56934	174218	n:m	838366
56934	CAEEL07538	n:m	
84643	176511	1:1	
1353	186814	1:1	
23531	171731	n:1	1198840
8526	180720	1:1	844245
59342	179459	1:1	1182172
51649	191523	1:1	1223885
7716	177375	1:1	
6426	176688	n:1	969113
6426	176688	n:1	
140735	175922	1:1	1224559
4025	174340	1:1	
6827	175172	1:1	1215833
645545	190617	n:1	
388403	175512	n:1	770794
1213	176434	n:1	
81671	176712	1:1	
6198	3565956	1:1	
51136	180437	n:1	
84669	175853	1:1	
54828	176040	1:1	
342538	CAEEL00076	1:1	
83990	173370	1:1	901420
339175	4363033	n:1	1170070
1534	186343	1:1	
HUMAN35525	180780	1:1	
10238	179875	1:1	
51204	175191	1:1	1247605
57003	175505	1:1	1239287
117246	175414	1:1	1166749
5705	176661	1:1	960903
6603	172018	n:m	
6603	176426	n:m	834492
2081	174305	n:1	1214148
10672	181157	n:1	
5578	CAEEL19537	n:1	962142
5718	173807	1:1	1199113
55062	179246	n:1	
5573	180864	1:1	
5608	181043	n:1	
201266	172205	1:1	961133
6752	187897	n:1	
54549	177597	n:1	
6169	180044	1:1	
94015	181328	n:1	
HUMAN36057	190511	1:1	1179214
54868	181315	1:1	962034
2905	180002	1:1	
2232	178299	1:1	921724
92736	259710	n:1	
347741	259710	n:1	
283987	180553	1:1	1242650
3396	259963	1:1	
23510	180473	n:1	
79902	172611	1:1	
51081	190379	1:1	1247660
60386	36804989	1:1	917332
2885	181055	1:1	965703
HUMAN36242	CAEEL18181	n:1	
3993	180435	n:1	
3021	181057	n:1	698037
HUMAN36338	180562	n:1	
23558	174477	1:m	
23558	180652	1:m	961959
51	173162	1:m	
51	184167	1:m	
51	173164	1:m	
51	176353	1:m	
51	181668	1:m	
6730	179686	1:1	1235653
23265	172023	1:1	
5635	CAEEL19811	n:1	
8877	183197	1:1	
122455342	179245	1:1	
23210	177229	1:1	907315
6427	173915	n:1	
79157	173754	1:m	
79157	185367	1:m	
79157	187483	1:m	834079
6397	176302	1:1	
9144	180995	n:1	
7083	177913	1:1	
125061	177499	1:m	806688
125061	189911	1:m	
9489	171594	1:1	1250918
9267	176140	n:1	
7077	179197	1:1	
124583	181019	1:1	
125058	180856	1:1	
9775	190485	1:m	960979
9775	172258	1:m	
79643	171654	1:1	
71	179534	n:m	
71	180767	n:m	
55666	3565577	1:m	1229185
55666	173952	1:m	
9146	177617	1:1	961713
6182	176495	1:1	1248914
1468	180940	1:1	917339
5034	180724	1:1	960967
396	180721	n:1	
10189	177738	1:1	
51529	175604	1:1	
5833	171770	1:1	1181998
HUMAN37130	CAEEL20013	n:1	758932
79058	179435	1:1	696497
5881	177111	n:m	
5881	186939	n:m	
51181	179741	1:1	728744
2873	180168	1:1	
64118	185334	1:1	
2194	172715	1:1	961432
284004	245995	1:1	
HUMAN37324	175702	n:1	
79672	191003	n:1	
64122	191003	n:1	
6904	CAEEL01556	1:1	752174
146712	184431	1:1	1131528
9097	175105	1:1	961038
HUMAN37392	173460	1:1	
7298	172149	1:1	1204279
10403	177873	1:1	961193
9663	179853	n:1	
10627	175440	n:1	
284217	172952	n:1	
4729	179850	1:1	948858
8774	180182	1:1	
63895	182492	n:1	
2774	171687	n:1	
57132	171801	1:1	
65258	172956	1:1	1206320
10939	171915	1:1	961139
10650	173040	n:1	
81929	176748	1:1	961459
8731	182875	1:1	1238766
6093	172088	n:1	
6632	174072	1:1	1214553
171586	180309	n:m	
171586	180450	n:m	
29919	178616	1:1	1221289
4864	176165	n:m	
4864	180719	n:m	
HUMAN37927	173001	1:1	
143471	172679	n:1	
HUMAN38022	177763	1:1	
1837	171715	n:1	
10982	3565059	n:1	
2589	176112	1:1	
55197	176162	n:1	
55250	176687	1:1	
55034	187534	1:1	1181033
80206	172133	n:1	
56853	182722	n:1	
HUMAN38241	172280	1:1	1195043
498	173134	1:1	1198486
84064	187136	1:1	1211392
51124	3565298	n:1	1233389
51124	3565298	n:1	
4087	175955	1:1	
54808	174789	1:1	1201346
6139	171692	n:1	1208826
6139	171692	n:1	
10449	176756	1:1	1233079
4645	CAEEL15091	n:1	
1630	172233	n:1	
5874	173223	n:1	
9352	171897	1:1	1208329
23335	CAEEL07023	1:1	803534
4677	172442	1:1	1184761
90701	171876	n:1	
3998	172799	1:1	
23556	171881	1:1	1207371
2531	36805052	1:1	728742
9525	189590	n:1	962212
6317	179195	1:1	
54495	172039	1:1	962087
1528	172393	1:1	
125704	171618	1:1	
55748	175387	1:1	
2587	CAEEL19861	1:1	964196
374868	172748	n:m	780294
374868	178754	n:m	
80148	172623	1:1	
10907	24105155	1:1	1164013
8612	173734	n:1	
997	171734	n:1	
5725	174647	n:1	
91304	CAEEL03535	1:1	
5434	172412	1:1	1240134
2879	188313	1:m	1177816
2879	187542	1:m	
513	174059	1:1	1226297
374291	172734	1:1	
6209	172693	1:1	1244977
92840	171835	n:m	
92840	176759	n:m	
1455	172891	n:1	963776
55643	178116	n:1	962198
126308	177511	n:1	
8943	173701	1:1	715062
51690	177988	1:1	1217102
26517	172686	1:1	1239987
2788	181424	n:1	
6449	173846	n:1	967596
2767	171751	n:1	1245117
56926	172803	1:1	1200140
60680	182722	n:1	
83475	3565578	1:1	960941
51343	266859	1:1	
126321	180739	1:1	961463
58509	175066	1:1	961194
23217	190806	1:1	1198894
1938	172743	1:1	
5605	171872	n:1	
51548	182284	1:1	
6455	172078	n:1	963723
80700	177253	1:1	
84717	171788	1:1	
91039	172409	n:1	
645432	CAEEL13576	1:1	
5802	174685	n:1	
9667	185193	n:1	
6294	185193	n:1	
25873	176007	1:1	699681
9361	172966	1:1	1223148
56931	177120	1:1	1237360
2528	187342	n:m	
2528	3565968	n:m	
2527	187342	n:m	
2527	3565968	n:m	
125981	189124	n:1	
8192	174594	1:1	923014
84266	3564894	1:1	924603
2962	173764	1:1	961642
8570	175989	n:m	
8570	179423	n:m	
8570	181773	n:m	
79085	186276	n:m	917385
79085	181399	n:m	
56927	180881	1:1	
9322	176812	n:m	
9322	180492	n:m	
7409	181153	n:1	
3643	175410	n:1	
92960	353387	1:1	
57192	176074	n:1	
10908	176225	n:1	
57662	181743	1:1	
56949	171970	1:1	961065
126003	190338	1:1	1245893
115704	3565805	n:1	
5609	181004	1:1	962241
10469	172302	1:1	1239611
1994	174506	n:1	
6234	176975	1:1	
9230	171601	n:1	
81794	180675	n:1	
94025	CAEEL07915	1:1	
59286	185872	1:1	941942
5300	190941	1:1	1223524
8666	174346	1:1	
51073	179230	1:1	1229659
HUMAN40629	178434	1:1	911775
11140	173449	1:1	1211717
84971	3565022	1:1	
65095	174374	1:1	961109
10053	172180	1:1	
57153	180809	n:1	
81890	CAEEL11837	1:1	1241231
1785	181644	n:1	
11018	178145	n:1	
90580	179689	1:1	1151758
6597	178015	n:1	
3949	174116	n:1	
57572	180988	n:1	
64748	174710	n:1	
5589	174515	1:1	1220321
1995	174506	n:1	
51295	177244	1:1	
84337	175090	1:1	961508
54	172627	1:1	
163049	172281	n:1	
4125	180749	1:1	1223669
84292	173867	1:1	961173
51398	174054	1:1	722881
HUMAN41105	174840	1:1	1187461
HUMAN41117	174587	1:1	1241800
30000	175094	n:1	1209373
439	176254	1:1	944560
54831	6418643	n:m	
54831	176436	n:m	
54831	177975	n:m	
10535	266861	1:1	1232820
2639	174768	1:1	662651
2193	172311	1:1	1240529
811	178997	1:1	
5886	174785	n:1	
90480	187083	1:1	
55621	179920	1:1	1236660
84245	180016	1:1	1199157
54862	CAEEL02747	n:1	
79883	184307	1:1	
5566	3565407	n:1	961318
55723	172812	n:1	
5585	CAEEL19700	n:1	
10755	175649	n:m	
10755	177865	n:m	1204432
9524	174140	1:1	1176064
4713	172513	1:1	1222158
6511	174530	n:m	
6511	188744	n:m	
10994	177095	1:1	1250363
4854	179022	1:m	
4854	3564957	1:m	
79852	175239	n:m	955229
79852	179444	n:m	
7171	173319	n:1	
