Mouse	Human	type	OMAGroup
102634429	HUMAN95741	1:1	408980
57254	50834	1:1	876008
20356	9037	1:1	1219194
15529	6383	1:1	929397
54381	10404	1:1	1185801
239364	85453	1:1	349208
107831	575	1:1	973190
11838	23237	1:1	407953
16469	8629	1:1	751001
72373	8000	1:1	1158186
223626	51337	1:1	911983
57277	57152	1:1	1158187
68311	137797	1:1	1158189
69462	432355	1:1	882091
67154	92140	1:1	1227141
23936	66004	1:1	1135738
17068	8581	1:1	1158188
114128	55353	1:1	939484
625599	2765	n:1	412879
15202	2765	n:1	
110115	1584	n:m	
110115	1585	n:m	930894
13072	1584	n:m	930784
13072	1585	n:m	
17069	4061	1:1	
17181	4147	1:1	965422
MOUSE15866	55605	1:1	966517
19946	6156	1:1	1229619
239368	203111	1:1	976723
15473	10247	1:1	1204721
26874	225	1:1	961009
MOUSE15879	283461	1:1	1183587
239606	114134	1:1	961326
67724	10940	1:1	1241636
223473	79815	1:1	859589
16539	3788	1:1	
102637705	101928108	1:1	367463
56274	6788	1:1	965016
107587	116039	1:1	896263
23934	4062	1:1	943738
68453	338328	1:1	1137814
22701	286128	1:m	989843
22701	286128	1:m	
666173	157680	1:1	1194582
72960	116447	1:1	966476
12864	1345	1:1	1242751
626596	26166	1:1	1222648
78803	286151	1:1	1167327
14787	114822	1:1	1170860
MOUSE15940	5440	1:1	950806
378435	389692	1:1	351094
223642	23144	1:1	1215852
26942	6674	1:1	969053
30945	25897	1:1	1218427
68839	157567	1:1	1162955
12805	1272	1:1	
239618	29951	1:1	1235014
66696	169166	1:1	1201779
223827	283464	1:1	1242142
18458	26986	1:1	961972
67057	10138	1:1	1202036
67197	85437	1:1	966729
22631	7534	1:1	1248120
68036	51123	1:1	814794
252973	79977	1:1	421256
223828	HUMAN12061	1:1	1229166
106042	144165	1:1	1142637
52589	83988	1:1	965353
382985	50484	1:1	1219320
223838	80070	1:1	962583
78895	83448	1:1	1233043
266632	51135	1:1	962839
19230	5756	1:1	917298
320709	84216	1:1	1204907
54003	4753	1:1	966029
223843	440097	1:1	1196477
70790	51366	1:1	1204274
18285	4956	1:1	1189238
21847	7071	1:1	964454
105722	196527	1:1	752435
54375	51582	1:1	1192007
77044	196528	1:1	968023
72193	9169	1:1	962940
105727	81539	1:1	962576
67760	54407	1:1	961924
223499	HUMAN95093	1:1	1204648
69354	55089	1:1	962301
105827	347902	1:1	963485
239647	91523	1:1	920518
71919	79657	1:1	962478
19011	8909	1:1	905389
116838	HUMAN95095	1:1	970982
75766	81501	1:1	1178689
64705	1807	1:1	1175811
239393	29967	1:1	343452
22762	23414	1:1	972907
223864	10411	1:1	1206814
67739	55652	1:1	843018
170719	55074	1:1	842299
223513	137735	1:1	1190881
11600	284	1:1	971203
239405	340419	1:1	1184928
16341	3646	1:1	1194007
66736	9694	1:1	1136401
239408	157753	1:1	1232025
22045	7201	1:1	973763
67429	84955	1:1	1187322
223527	56943	1:1	868354
56233	51564	1:1	1202404
22337	7421	1:1	1208806
380967	79022	1:1	1190290
192190	93035	1:1	1177135
55960	9166	1:1	1232303
319613	55638	1:1	1219898
67498	27012	1:1	969115
12824	1280	1:1	
223870	29843	1:1	1234053
18642	HUMAN12265	1:1	1206396
78541	140461	1:1	1224341
239650	387856	1:1	1142458
545140	121275	n:1	
545140	121275	n:1	927689
634104	121275	n:1	
239652	121274	1:1	1166450
239420	114788	1:1	973451
MOUSE16215	390313	1:1	354575
16770	3906	1:1	943688
83925	7227	1:1	1228265
68135	HUMAN95261	1:1	1137105
78581	84294	1:1	1227442
19357	5885	1:1	926523
239435	441376	1:1	919170
239436	169026	1:1	1188814
69612	HUMAN12327	1:1	1240507
69790	90390	1:1	1144655
14042	2131	1:1	720173
320679	401474	1:1	1229991
73863	255411	1:1	1199909
18383	4982	1:1	1134627
239447	10584	1:1	1186659
105853	114569	1:1	1180018
18133	4856	1:1	1207126
MOUSE16255	112	1:1	963713
12297	784	1:1	906252
74351	9416	1:1	961116
223881	27289	1:1	358700
105833	85478	1:1	961792
66120	51303	1:1	968665
11842	HUMAN12370	1:m	
11842	377	1:m	
22410	7480	1:1	831193
22408	7471	1:1	831194
13199	23109	1:1	1137778
19082	5571	1:1	927377
18606	5168	1:1	1161872
319944	6873	1:1	952875
72107	79075	1:1	1226348
MOUSE16299	8085	1:1	978673
97998	64798	1:1	413109
69159	121268	1:1	965177
13363	50846	1:1	1225935
74775	55716	1:1	671006
22143	10376	n:m	674824
22143	7846	n:m	
MOUSE16313	80086	1:1	
22142	10376	n:m	
22142	7846	n:m	674832
22146	84790	1:1	674837
19132	5630	1:1	967269
78733	10024	1:1	1177793
239659	338761	1:1	972362
72778	79962	1:1	1169402
MOUSE16327	7373	1:1	904245
68537	28998	1:1	1248817
72572	65244	1:1	968000
16512	23416	1:1	972588
51812	10445	1:1	1186034
545136	84070	1:1	1169906
54614	25766	1:1	962276
22379	91010	1:1	969553
110213	7009	1:1	841409
380969	57701	1:1	967990
75284	144233	1:1	770193
72393	23017	1:1	841410
11827	359	1:1	1148912
11830	362	1:1	1148913
11831	363	1:1	1148916
26934	29127	1:1	967656
11419	41	1:1	908275
83797	6602	1:1	834491
14555	2819	1:1	1177216
66379	84987	1:1	1168388
71949	91012	1:1	1173316
223658	727957	1:1	1161754
65970	51474	1:1	1233667
12181	23246	1:1	1212723
20289	642658	1:1	943242
MOUSE16417	121006	1:1	980909
207214	113251	1:1	963406
15499	3297	1:1	1188306
13350	8694	1:1	1194482
170729	83482	1:1	973023
666504	340393	1:1	
30840	26233	1:1	963581
52710	79581	1:1	
239667	57609	1:1	967316
11908	466	1:1	352984
75002	283471	1:1	965569
70152	25840	1:1	661132
268822	203054	1:1	946386
380975	613227	1:1	958238
94230	29894	1:1	670848
18174	4891	1:1	
72027	55630	1:1	968500
66914	51160	1:1	1209283
68614	25875	1:1	867721
207785	81566	1:1	1226224
72749	4796	1:1	963675
125488414	50626	1:1	1172497
16581	90990	1:1	971826
21422	7024	1:1	809622
14106	8928	1:1	981781
73062	84988	1:1	969100
19009	5463	1:1	1208448
76282	2875	1:1	
69572	113655	1:1	960924
23994	9802	1:1	
207818	57228	1:1	1143402
79456	9401	1:1	965342
223664	9684	1:1	937539
MOUSE16547	51411	1:1	
378937	441381	1:1	969639
223665	414919	1:1	736012
109901	1990	1:1	964206
207839	11226	1:1	1131541
223666	80728	1:1	963828
71591	90987	1:1	986779
223669	7553	1:1	976839
MOUSE16577	HUMAN29559	1:1	702212
66398	28991	1:1	
26961	6132	1:1	1250646
59033	9498	1:1	910966
239546	58500	1:1	973668
117171	65265	1:1	
17189	4151	1:1	1174970
71939	80830	1:1	
93686	23543	1:1	966400
75761	80833	n:m	
75761	23780	n:m	
20273	6334	1:1	965960
278679	80833	n:m	
278679	23780	n:m	
118568222	112163659	1:1	
668225	401720	1:1	968540
626615	80832	1:1	
108956	80833	n:m	
108956	23780	n:m	
208258	341405	1:1	1211592
666348	80833	n:m	
666348	23780	n:m	
239552	80833	n:m	
239552	23780	n:m	790757
11482	94	1:1	964359
11479	91	1:1	962996
17886	4627	1:1	961170
56149	160622	1:1	1163499
15370	3164	1:1	1228702
56551	25828	1:1	965978
68118	60673	1:1	1234748
239554	80020	1:1	1217200
74127	144501	1:1	1164811
55944	8664	1:1	1191837
12300	10369	1:1	1163495
110310	3855	1:1	347980
67042	11020	1:1	962912
406219	3892	n:m	
406219	3887	n:m	974077
406219	3889	n:m	
19293	5816	1:1	1160964
64818	3892	n:m	974449
64818	3887	n:m	
64818	3889	n:m	
17972	4689	1:1	1145675
12984	1439	n:1	
109052	9119	1:1	1171488
12983	1439	n:1	1148544
16688	3854	n:m	
16688	286887	n:m	985488
16688	3853	n:m	
16687	3854	n:m	
16687	286887	n:m	
16687	3853	n:m	967428
110308	3852	1:1	971575
73376	339669	1:1	1181204
56735	112802	1:1	1176817
22117	7263	1:1	939081
246221	4357	1:1	939080
105866	140807	1:1	969906
223915	319101	1:1	1176816
16681	3849	1:1	980122
16678	3848	1:1	968651
406220	374454	1:1	972634
16682	3851	1:1	972771
223917	338785	1:1	968034
MOUSE16752	HUMAN60360	1:1	965023
16691	3856	1:1	968103
16668	3875	1:1	
75705	1975	1:1	
71753	164656	1:1	1196144
16185	3560	1:1	1231253
72709	114904	1:1	1197267
20607	6753	1:1	964352
19354	5880	1:1	962874
72318	27128	1:1	839301
207393	114794	1:1	343133
209039	23371	1:1	963418
17305	4242	1:1	1235666
223918	84926	1:1	1178855
16012	3489	1:1	1223657
223920	8435	1:1	1194484
105844	29775	1:1	1220692
104445	11135	1:1	952989
107753	3957	1:1	
106039	26088	1:1	961464
MOUSE16806	23616	n:m	
MOUSE16806	HUMAN60431	n:m	971149
20401	23616	n:m	963529
20401	HUMAN60431	n:m	
57028	57026	1:1	1211390
16852	3956	1:1	
97961	79159	1:m	922376
97961	HUMAN60440	1:m	
246277	51380	1:1	1183933
68744	283337	1:1	978581
16421	3695	1:1	965439
19411	5916	1:1	928555
MOUSE16854	122455340	1:1	985793
106073	HUMAN12943	1:1	961560
110253	11078	1:1	983468
14958	3005	1:1	962004
26912	23464	n:1	957335
105988	9700	1:1	1219409
26912	23464	n:1	
14429	8484	1:1	
223690	129138	1:1	1207398
56612	5204	1:1	1219605
223691	51386	1:1	1251298
60315	60314	1:1	1154443
27008	85377	1:1	965670
223921	8086	1:1	790571
27660	84645	1:1	675876
170574	121340	1:1	347907
69833	5435	1:1	927941
20683	6667	1:1	1212179
20665	6663	1:1	967320
110542	269	1:1	964481
66151	54458	1:1	970874
MOUSE16938	9463	1:1	
57274	23539	1:1	963082
207495	80115	1:1	1147994
53357	8398	1:1	711507
17133	23764	1:1	1175763
223693	25829	1:1	827042
27373	HUMAN60556	1:m	
27373	102800317	1:m	
16520	3761	1:1	1188487
105785	11015	1:1	1175970
67040	10521	1:1	962760
13404	11144	1:1	1192906
18521	5094	1:1	961452
75729	HUMAN60576	1:1	1208155
73739	HUMAN60578	1:1	1240022
223696	56993	1:1	1153299
74158	9929	1:1	1173430
14904	9567	1:1	1196275
26404	7786	1:1	964231
21357	6895	1:1	1243621
54615	8620	1:1	407672
MOUSE17040	114108587	n:m	
MOUSE17040	11016	n:m	978452
223697	25777	1:1	1194359
54152	10126	1:1	1224560
MOUSE17052	23467	1:1	719690
223922	114108587	n:m	963881
223922	11016	n:m	
67942	HUMAN13038	1:1	1152285
494448	23466	1:1	965421
67488	57658	1:1	974459
15422	3229	1:1	970639
15421	3228	1:1	1191534
109663	3227	1:1	942735
209448	3226	1:1	350802
15424	3222	1:1	823283
15427	3225	1:1	1221757
15426	3224	1:1	970717
15425	3223	1:1	968712
80287	9582	1:m	
80287	140564	1:m	
80287	140564	1:m	
80287	200316	1:m	
80287	60489	1:m	417436
15423	3221	1:1	963563
52609	23492	1:1	964014
18591	5155	1:1	1153580
27367	6122	1:1	1251237
20972	9145	1:1	
66513	10454	1:1	1218490
17309	4248	1:1	694327
239555	54471	1:1	1142464
MOUSE17130	127898561	1:1	915634
11911	468	1:1	
66538	91582	1:1	1151091
239556	8911	1:1	964907
383075	150350	1:1	1143154
17444	9402	1:1	963397
213956	113828	1:1	924724
213988	23112	1:1	967710
11564	158	1:1	1238060
105835	27352	1:1	968511
223701	57591	1:1	963078
207911	HUMAN60732	1:1	943223
20524	10478	1:1	917331
70356	6767	1:1	961492
321003	63929	1:1	1249421
57755	150353	1:1	353545
56438	9978	1:1	889979
328572	2033	1:1	963592
214669	83746	1:1	946135
214685	150356	1:1	970594
19387	5905	1:1	961251
20286	23264	1:1	897622
21685	7008	1:1	899186
57259	10766	1:1	699190
68479	84844	1:1	1251458
11429	HUMAN60797	1:1	1248349
78929	171568	1:1	1232400
105859	27254	1:1	1238189
29858	5372	1:1	1153491
14375	2547	1:1	808720
28075	27351	1:1	719602
20826	4809	1:1	1245368
14600	2690	1:1	1232015
106052	26272	1:1	1210327
106064	285636	1:1	1156694
67041	5019	1:1	1153638
74369	150365	1:1	1207912
239318	345557	1:1	761640
MOUSE17264	729	1:1	1141232
223332	202151	1:1	968892
68646	133686	1:1	1175643
27401	6502	1:1	967337
105887	133688	n:m	847599
105887	167127	n:m	
223337	133688	n:m	
223337	167127	n:m	847522
320506	92255	1:1	1178664
66725	120892	1:1	1224098
239611	10071	1:1	
69146	79792	1:1	1162967
223645	642475	1:1	1161759
223646	93100	1:1	1185202
105734	84948	1:1	751002
66194	HUMAN95916	1:1	758933
22122	7264	1:1	960922
78834	HUMAN95930	1:1	978630
69020	286075	1:1	349898
223648	100130274	1:1	969183
332110	225689	1:1	965956
MOUSE17332	286077	1:1	1160947
432964	642574	1:1	1151079
105782	HUMAN95960	1:1	963625
67959	22827	1:1	963501
223649	340371	1:1	971120
MOUSE17351	83481	1:1	1163486
18810	5339	1:1	1171467
671535	84875	1:1	1181309
66168	2907	1:1	841422
74281	375686	1:1	967233
75475	26873	1:1	824113
109075	54512	1:1	960836
14731	8733	1:1	1194801
66445	1537	1:1	1249048
106025	81858	1:1	942706
68877	HUMAN96040	1:1	1234317
102638882	340390	1:1	1195010
59053	51236	1:1	1241870
239463	84985	1:1	858557
75758	84933	1:m	1229520
75758	100533106	1:m	
22770	11244	1:1	894497
70472	29028	1:1	679504
76773	55093	1:1	893966
67731	114907	1:1	1162497
268807	340359	1:1	974005
69787	312	1:1	675262
210998	157769	1:1	761406
66335	528	1:1	1222224
118452	79870	1:1	1215146
14368	8323	1:1	900335
68588	115908	1:1	939510
69906	81034	1:m	917336
69906	HUMAN95087	1:m	
100126226	3892	n:m	
100126226	3887	n:m	
100126226	3889	n:m	971261
53622	3891	1:1	970250
16680	3890	1:1	1144633
114566	3888	1:1	976125
20363	6414	1:1	1161573
100039139	100129792	1:1	1178209
622935	337975	n:m	
622935	337976	n:m	
170656	112267897	n:m	
170656	647264	n:m	
16701	112267897	n:m	1004712
16701	647264	n:m	
MOUSE17473	10581	n:m	
MOUSE17473	8519	n:m	
MOUSE17473	10410	n:m	
16703	337879	1:1	378523
71363	337878	1:1	414016
16693	337880	1:1	364521
67254	89927	1:1	810124
67657	285282	1:1	
15233	3081	1:1	1211993
68194	4710	1:1	1194121
223989	9665	1:1	1200057
14314	11167	1:1	1232866
320184	116064	1:1	967360
239845	165829	1:1	1155148
56637	2932	1:1	961141
18171	8856	1:1	1208807
67203	54820	1:1	964345
21844	7074	1:1	945624
320214	89876	1:m	1223503
320214	89876	1:m	
12856	10063	n:1	1190020
12856	10063	n:1	
20655	6647	1:1	1148126
64082	64091	1:1	694045
85031	51365	1:1	966732
11544	141	1:1	1217083
12519	941	1:1	1214715
76916	51300	1:1	826826
224143	56983	1:1	1209625
224432	57466	1:1	963273
26559	30811	1:1	1174360
66578	54069	1:1	722799
77037	56246	1:1	1142019
67846	55254	1:1	1207043
207932	9875	1:1	1190040
17880	4629	1:1	963102
12549	57514	1:1	970022
66086	123811	1:1	1176039
56375	8702	1:1	1201361
70967	59271	1:1	868440
22268	7348	1:1	718102
68001	HUMAN58269	1:m	
68001	56683	1:m	1226291
207683	152404	1:1	347373
268890	4045	1:1	964714
17250	HUMAN26860	1:1	961128
14432	2596	1:1	974849
20583	6591	1:1	964712
66793	79645	1:1	966209
104015	8867	1:1	1168827
70620	7336	1:1	1216070
17217	HUMAN93766	1:1	1134261
67367	94104	1:1	1163457
74387	56245	1:1	1180613
50913	10215	1:1	1168976
50914	116448	1:1	944830
56490	26137	1:1	968051
100043314	201633	1:1	1154052
19090	5591	1:1	672648
13490	1814	1:1	1237583
72083	80097	1:m	
72083	653784	1:m	
12609	1052	1:1	1143161
106248	HUMAN71613	1:1	1241232
15976	3455	1:m	
15976	3455	1:m	1136440
224008	23514	1:1	1207411
67451	5318	1:1	853757
16155	3588	1:1	
212153	57577	1:1	1184893
70120	51067	1:1	1245453
332175	254887	1:1	966928
15975	3454	1:1	1154037
15980	3460	1:1	1154036
77975	757	1:1	802117
207798	54762	1:1	803147
246738	54943	1:1	1193814
11964	523	1:1	1198488
74006	10059	1:1	1242952
72117	80218	1:1	1231555
207806	205717	1:1	971390
14450	2618	1:1	1196492
320007	54847	1:1	1194842
212514	152185	1:m	1240432
212514	152185	1:m	
212517	55779	1:1	834568
20658	6651	1:1	978900
117606	91653	1:1	962635
224014	121512	1:1	962882
212547	25871	1:1	1232879
50525	9576	1:1	961503
16136	100423062	1:m	831500
16136	3543	1:m	
22362	7441	n:1	
66067	29083	1:1	1215696
57781	131450	n:1	1223811
60364	29980	1:1	1243777
MOUSE17757	HUMAN58404	1:1	340087
239849	131450	n:1	
271375	344807	1:1	1223814
21976	8940	1:1	690725
68606	9647	1:1	964820
66609	9946	1:1	1214328
67896	151887	1:1	343149
74102	55032	1:1	752029
67841	64422	1:1	1175026
26413	5594	1:1	961145
208154	151888	1:1	810288
17470	4345	1:1	967650
MOUSE17814	29799	1:1	770796
208169	285335	1:1	964113
14525	257144	1:1	1145314
212998	79669	1:1	1198461
208171	344805	1:1	1194775
56370	29114	1:1	770210
213012	55347	1:1	955142
66053	23759	1:1	961000
64136	23753	1:1	958126
76872	164592	1:1	
69101	150223	1:1	759892
208177	90102	1:1	963980
22195	7332	1:1	828841
239731	85376	1:m	979945
239731	440804	1:m	
239731	150221	1:m	
433022	257068	1:1	761642
58180	23119	1:1	1214732
84544	10225	1:1	950942
11615	191	n:1	953976
224019	728229	1:m	
224019	HUMAN59382	1:m	352476
58998	25945	1:1	978030
73693	55211	1:1	868605
73703	151871	1:1	412530
MOUSE17886	401081	1:1	1197923
17450	27136	1:1	944264
224020	5297	1:1	1195044
MOUSE17895	50852	1:1	1166458
57263	84666	n:1	919164
15160	3053	1:1	1220832
67474	9342	1:1	900492
245195	84666	n:1	
12929	1399	1:1	1188066
16443	6453	1:1	973241
72168	150209	1:1	1139995
28080	539	1:1	
121022	64968	1:1	951333
224170	9666	1:1	1139337
53881	6526	1:1	1196688
246133	9992	1:1	1226007
68936	102723553	1:m	1202264
68936	102723553	1:m	
75328	101928147	1:m	418702
75328	101928147	1:m	
16509	3753	1:1	1196586
224171	57650	1:1	1185170
54720	1827	1:1	1152684
667772	22989	1:1	975236
66863	8216	1:1	963975
209195	54102	1:1	972040
69009	80764	1:1	723802
12394	861	1:1	1192829
73916	55081	1:1	698843
74685	400891	1:1	966948
224440	54093	1:1	788979
18440	9127	1:1	788661
12408	873	n:1	728769
MOUSE17990	873	n:1	
109857	874	1:1	
224022	6545	1:1	962930
16423	961	1:1	416129
70028	9980	1:1	1187606
338467	23515	1:1	1231872
110749	8208	1:1	961795
70508	56987	1:1	1148541
56173	23562	1:1	1190797
69339	84692	1:1	352000
20465	6493	1:1	936632
MOUSE18042	3141	1:1	1227070
170765	53820	1:1	1170390
56176	HUMAN58533	1:1	1191686
208650	868	1:1	342533
11658	214	1:1	1188665
239852	HUMAN71338	1:1	1223579
77626	HUMAN64701	1:1	1198194
72315	91409	1:m	1147079
72315	90557	1:m	
80859	64332	1:1	1178779
385658	91775	1:1	1167552
74201	79598	1:1	672828
68193	6152	1:1	1235342
271377	27107	1:1	762994
94112	51586	1:1	1208970
76302	57092	1:1	782305
52575	54931	1:1	674481
224023	84861	1:1	967749
224024	91179	1:1	966212
MOUSE18128	117134597	1:m	
MOUSE18128	117134598	1:m	416062
MOUSE18130	9993	n:1	
66315	57337	1:1	676845
13356	9993	n:1	1170386
22114	83942	1:1	
22115	23617	1:1	964625
224224	50939	1:1	967911
27886	8220	1:1	853411
MOUSE18149	2928	1:1	968446
13358	6576	1:1	917338
22363	7441	n:1	361237
13353	8214	1:m	
13353	HUMAN59140	1:m	1214461
13353	85359	1:m	
13353	8214	1:m	
19125	5625	1:m	
19125	HUMAN103186	1:m	1164870
65079	65078	1:1	969163
MOUSE18168	388849	1:1	878966
27801	29801	1:1	
320712	25890	1:1	965770
21787	10342	1:1	965356
239853	84873	1:1	969641
56277	HUMAN71242	1:1	1179108
100503609	HUMAN71241	1:1	1197657
28185	9868	1:1	960938
52633	56954	1:1	952461
67581	55773	1:1	1147947
66497	84319	1:1	1231856
78749	11259	1:1	1137770
12837	1295	1:1	968196
22129	7267	1:1	1155581
73379	131566	1:1	344007
13185	10311	1:1	1194924
13548	1859	1:1	964949
54613	10402	1:1	673188
16522	3763	1:1	1188502
12892	1371	1:1	1193857
71223	2838	1:1	1164260
224250	HUMAN71162	1:1	1174900
259003	26339	n:m	
259003	402135	n:m	923567
259002	26339	n:m	352352
259002	402135	n:m	
258999	403278	n:1	
258178	403278	n:1	353166
16516	3772	1:1	1188490
259001	403278	n:1	
258478	26341	n:m	
258478	403273	n:m	
258478	403274	n:m	
258478	79295	n:m	
258478	HUMAN71154	n:m	
258318	79310	1:1	352854
258319	26341	n:m	
258319	403273	n:m	
258319	403274	n:m	
258319	79295	n:m	
258319	HUMAN71154	n:m	
258035	26341	n:m	
258035	403273	n:m	
258035	403274	n:m	
258035	79295	n:m	
258035	HUMAN71154	n:m	875972
257972	26341	n:m	875971
257972	403273	n:m	
257972	403274	n:m	
257972	79295	n:m	
257972	HUMAN71154	n:m	
259000	403277	1:1	353034
258775	26341	n:m	
258775	403273	n:m	
258775	403274	n:m	
258775	79295	n:m	
258775	HUMAN71154	n:m	
13972	54584	1:1	1197560
21380	6899	1:1	953786
14724	2812	1:1	361355
328699	200959	1:1	784704
MOUSE18365	5413	n:m	
MOUSE18365	HUMAN59202	n:m	770361
67014	84864	1:1	927148
MOUSE18374	5413	n:m	770373
MOUSE18374	HUMAN59202	n:m	
12741	HUMAN59190	1:1	1190788
224273	131544	1:1	942682
13876	2078	1:1	1173208
12544	8318	1:1	1225556
56297	84100	1:1	953186
23872	2114	1:1	1135078
13840	285220	1:1	971153
22230	7353	1:1	1239807
72307	128977	1:1	
56088	8624	1:1	1203394
18100	64976	1:1	1245837
106338	63899	1:1	964500
68146	200894	1:1	953215
68159	415117	1:1	780128
19128	5627	1:1	1181215
15260	7290	1:1	961163
MOUSE18425	HUMAN59496	n:m	831484
MOUSE18425	HUMAN59498	n:m	
MOUSE18425	HUMAN59500	n:m	
MOUSE18425	HUMAN59505	n:m	
MOUSE18427	HUMAN59496	n:m	
MOUSE18427	HUMAN59498	n:m	
MOUSE18427	HUMAN59500	n:m	831486
MOUSE18427	HUMAN59505	n:m	
MOUSE18431	HUMAN59496	n:m	
MOUSE18431	HUMAN59498	n:m	
MOUSE18431	HUMAN59500	n:m	
MOUSE18431	HUMAN59505	n:m	
MOUSE18433	HUMAN59496	n:m	
MOUSE18433	HUMAN59498	n:m	
MOUSE18433	HUMAN59500	n:m	
MOUSE18433	HUMAN59505	n:m	831485
MOUSE18436	HUMAN59428	1:m	815246
MOUSE18436	HUMAN59432	1:m	
MOUSE18436	HUMAN59490	1:m	
MOUSE18437	HUMAN59443	1:1	
258458	127059	1:m	
258458	391194	1:m	
258458	127062	1:m	
258458	391196	1:m	
259071	284521	n:1	352754
258937	391190	1:m	
258937	81466	1:m	
258937	26246	1:m	
258937	391192	1:m	
258354	284521	n:1	
258158	127608	n:1	352638
13837	2042	1:1	1079568
258959	127608	n:1	
224291	111064647	1:1	344374
258960	127608	n:1	
67609	285237	1:1	1154071
72020	55279	1:1	1236935
239739	27074	1:1	681389
106143	8545	1:1	949827
15557	3355	1:1	943227
108105	84002	1:1	722921
18736	5449	1:1	1169131
68942	25978	1:1	675936
239743	89857	1:1	971576
73569	389136	1:1	1226959
75785	54800	1:1	968394
239857	253559	1:1	965963
93871	54014	1:1	736536
15312	3150	1:1	
71446	7485	1:m	858333
71446	HUMAN58654	1:m	
MOUSE18514	2632	1:1	874075
385668	150082	1:1	1216905
19876	6091	1:1	968338
50795	6450	1:1	966385
MOUSE18533	55689	1:1	1155145
93961	10317	1:1	
208158	79929	1:1	959876
72058	150084	1:1	1186679
381038	HUMAN73652	1:m	
381038	55486	1:m	898074
18546	5121	1:1	1190700
27416	10057	1:1	961645
13508	1826	1:1	964422
224045	HUMAN73696	1:1	961071
MOUSE18575	6092	1:1	972255
56175	25825	1:1	967558
320355	HUMAN58082	1:1	1193046
13544	1857	1:1	1184193
224344	54033	1:1	672519
110920	6782	1:1	969199
67742	64092	1:1	1217802
11773	1173	1:1	1221326
52793	54097	1:1	943770
268903	8204	1:1	1169794
MOUSE18615	4599	1:1	1242961
50528	7113	1:1	969253
30940	29761	1:1	968015
72388	54101	1:1	969366
27406	55324	1:1	960862
114604	63977	1:1	965401
207781	25966	1:1	1241190
114565	49854	1:1	1148757
13052	1525	1:1	350482
12228	10950	1:1	699191
67102	54149	1:1	1173197
246048	140578	1:1	1192743
208624	10195	1:1	1166532
110599566	110599564	1:1	674157
19146	5651	1:1	1135067
17968	4685	1:1	964305
110599584	110599583	n:m	
110599584	9718	n:m	1223265
73047	94032	1:1	332906
27393	54148	1:1	1224714
67374	58494	1:1	
11957	522	1:1	1215392
14390	2551	1:1	1200054
107522	110599583	n:m	1223285
107522	9718	n:m	
21762	5708	1:1	674793
11820	351	1:1	
224405	116159	1:1	1174904
11504	9510	1:1	972534
23794	11096	1:1	967683
67768	29104	1:1	1236344
78913	26046	1:1	881864
53858	10069	1:1	1161480
74112	10600	1:1	962817
12469	10694	1:1	847240
224419	56911	1:1	1183041
12013	571	1:1	968523
14805	2897	1:1	940617
239931	26285	1:1	946852
54420	9073	1:1	946851
239932	643803	1:1	356291
69533	388818	1:1	880728
239933	643812	1:1	360390
268905	337959	n:m	
268905	140258	n:m	
268905	284827	n:m	
117172	337959	n:m	
117172	140258	n:m	
117172	284827	n:m	894571
69696	337959	n:m	894573
69696	140258	n:m	
69696	284827	n:m	
546672	337959	n:m	
546672	140258	n:m	
546672	284827	n:m	
26560	254950	1:1	367644
170657	337970	n:m	
170657	337972	n:m	
170657	337973	n:m	
170657	728299	n:m	
77918	337970	n:m	
77918	337972	n:m	
77918	337973	n:m	
77918	728299	n:m	
170654	337970	n:m	
170654	337972	n:m	
170654	337973	n:m	
170654	728299	n:m	1013212
16704	337882	1:1	
71369	337970	n:m	
71369	337972	n:m	
71369	337973	n:m	
71369	728299	n:m	
16700	337968	n:m	
16700	337967	n:m	978846
16700	337966	n:m	
16700	337968	n:m	
16700	337967	n:m	
16700	337966	n:m	
68484	337968	n:m	
68484	337967	n:m	
68484	337966	n:m	
16700	337968	n:m	981743
16700	337967	n:m	
16700	337966	n:m	
100040249	337975	n:m	
100040249	337976	n:m	
102637070	337975	n:m	
102637070	337976	n:m	
54483	4210	1:1	966815
102637192	337975	n:m	1095754
102637192	337976	n:m	
640627	337975	n:m	
640627	337976	n:m	997832
102637417	337975	n:m	
102637417	337976	n:m	
74120	10127	1:1	970808
18312	4993	1:1	876054
385674	7727	1:1	982593
71063	146434	1:1	348496
74763	79903	1:1	1231557
73261	646174	1:1	905415
76779	23059	1:1	722591
268857	197358	1:1	966469
52864	84464	1:1	1207088
13419	1773	1:1	745438
208643	1981	1:1	962177
68015	10131	1:1	1191285
78408	131408	1:1	1227084
12914	1387	1:1	966952
11515	115	1:1	968182
12724	1181	1:1	1202789
245841	5437	1:1	1212443
83383	7023	1:1	1162450
83396	84662	1:1	1196565
66449	51025	n:1	1214309
MOUSE18906	7066	1:1	1191737
78885	100529144	1:m	962180
78885	79585	1:m	
246154	114990	1:1	970288
12667	8646	1:1	1176048
83945	9093	1:1	960830
13845	2049	1:1	1079555
67824	57407	1:1	963230
15369	3163	1:1	1225016
66626	29965	1:1	966341
78809	342346	1:1	674724
207740	124402	1:1	
17237	23295	1:1	966107
MOUSE18951	84309	1:1	1151864
72615	124401	1:1	1227614
71089	124404	1:1	770364
432995	440335	1:1	1214141
66049	79641	1:1	780627
74022	84656	1:1	1226829
209018	23355	1:1	1208684
72190	285382	1:1	1201127
74147	1962	1:1	893488
170644	29855	1:1	1221662
19041	5493	1:1	342006
